Model	Displ	Cyl	Trans	Drive	Fuel	Sales Area	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay
ACURA MDX	3.7	6	Auto-S5	4WD	Gasoline	CA	U2	LEV-II ULEV	9HNXT03.7H29	SUV	7	15	20	17	3	no
ACURA MDX	3.7	6	Auto-S5	4WD	Gasoline	FA	B5	Bin 5	9HNXT03.7H29	SUV	6	15	20	17	3	no
ACURA RDX	2.3	4	Auto-S5	4WD	Gasoline	CA	U2	LEV-II ULEV	9HNXT02.3R29	SUV	7	17	22	19	4	no
ACURA RDX	2.3	4	Auto-S5	4WD	Gasoline	FA	B5	Bin 5	9HNXT02.3R29	SUV	6	17	22	19	4	no
ACURA RL	3.7	6	Auto-S5	4WD	Gasoline	CA	U2	LEV-II ULEV	9HNXV03.7FB9	midsize car	7	16	22	18	4	no
ACURA RL	3.7	6	Auto-S5	4WD	Gasoline	FA	B5	Bin 5	9HNXV03.7FB9	midsize car	6	16	22	18	4	no
ACURA TL	3.5	6	Auto-S5	2WD	Gasoline	CA	U2	LEV-II ULEV	9HNXV03.56B9	midsize car	7	18	26	21	5	no
ACURA TL	3.7	6	Auto-S5	4WD	Gasoline	CA	U2	LEV-II ULEV	9HNXV03.7KB9	midsize car	7	17	25	20	5	no
ACURA TL	3.5	6	Auto-S5	2WD	Gasoline	FA	B5	Bin 5	9HNXV03.56B9	midsize car	6	18	26	21	5	no
ACURA TL	3.7	6	Auto-S5	4WD	Gasoline	FA	B5	Bin 5	9HNXV03.7KB9	midsize car	6	17	25	20	5	no
ACURA TSX	2.4	4	Man-6	2WD	Gasoline	CA	U2	LEV-II ULEV	9HNXV02.44B9	small car	7	20	28	23	6	yes
ACURA TSX	2.4	4	Auto-S5	2WD	Gasoline	CA	U2	LEV-II ULEV	9HNXV02.44B9	small car	7	21	30	25	7	yes
