Model	Displ	Cyl	Trans	Drive	Fuel	Sales Area	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay
ACURA MDX	3.7	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CHNXT03.7R19	SUV	5	16	21	18	3	no
ACURA MDX	3.7	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	CHNXT03.7R19	SUV	6	16	21	18	3	no
ACURA RDX	2.3	4	SemiAuto-5	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CHNXT02.3Y19	SUV	5	17	22	19	3	no
ACURA RDX	2.3	4	SemiAuto-5	4WD	Gasoline	CA	U2	California LEV-II ULEV	CHNXT02.3Y19	SUV	6	17	22	19	3	no
ACURA RDX	2.3	4	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CHNXT02.3Y19	SUV	5	19	24	21	4	no
ACURA RDX	2.3	4	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	CHNXT02.3Y19	SUV	6	19	24	21	4	no
ACURA TL	3.5	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CHNXV03.5EB3	midsize car	5	20	29	23	5	no
ACURA TL	3.5	6	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	CHNXV03.5EB3	midsize car	6	20	29	23	5	no
ACURA TL	3.7	6	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CHNXV03.7JB3	midsize car	5	17	25	20	4	no
ACURA TL	3.7	6	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	CHNXV03.7JB3	midsize car	6	17	25	20	4	no
ACURA TL	3.7	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	CHNXV03.7JB3	midsize car	5	18	26	21	4	no
