Model	Displ	Cyl	Trans	Drive	Fuel	Sales Area	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay	Comb CO2
ACURA ILX	1.5	4	SCV-7	2WD	Gasoline	FA	B2	Federal Tier 2 Bin 2	EHNXV01.58D2	small car	9	39	38	38	9	Yes	228
ACURA ILX	1.5	4	SCV-7	2WD	Gasoline	CA	PZEV	California PZEV	EHNXV01.58D2	small car	9	39	38	38	9	Yes	228
ACURA ILX	2	4	SemiAuto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EHNXV02.0EB3	small car	5	24	35	28	7	No	318
ACURA ILX	2	4	SemiAuto-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	EHNXV02.0EB3	small car	6	24	35	28	7	Yes	318
ACURA ILX	2.4	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EHNXV02.4RB3	small car	5	22	31	25	6	No	361
ACURA ILX	2.4	4	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	EHNXV02.4RB3	small car	6	22	31	25	6	No	361
ACURA MDX	3.5	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EHNXV03.55B4	small SUV	5	18	27	21	5	No	416
ACURA MDX	3.5	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	EHNXV03.55B4	small SUV	6	18	27	21	5	No	416
ACURA MDX	3.5	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EHNXV03.55B4	small SUV	5	20	28	23	6	No	387
ACURA MDX	3.5	6	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	EHNXV03.55B4	small SUV	6	20	28	23	6	No	387
ACURA RDX	3.5	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EHNXT03.5JT3	small SUV	5	19	27	22	5	No	399
ACURA RDX	3.5	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	EHNXT03.5JT3	small SUV	6	19	27	22	5	No	399
ACURA RDX	3.5	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	EHNXT03.5JT3	small SUV	5	20	28	23	6	No	385
ACURA RDX	3.5	6	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	EHNXT03.5JT3	small SUV	6	20	28	23	6	No	385
ACURA RLX	3.5	6	SemiAuto-7	4WD	Gasoline	FA	B3	Federal Tier 2 Bin 3	EHNXV03.52G2	midsize car	7	28	32	30	8	Yes	298
