Model	Displ	Cyl	Trans	Drive	Fuel	Cert Region	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay	Comb CO2
ACURA ILX	2.4	4	AutoMan-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GHNXV02.4XH3	small car	5	25	36	29	7	No	305
ACURA ILX	2.4	4	AutoMan-8	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	GHNXV02.4XH3	small car	6	25	36	29	7	Yes	305
ACURA MDX	3.5	6	SemiAuto-9	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GHNXV03.5VA3	small SUV	5	19	27	22	5	No	403
ACURA MDX	3.5	6	SemiAuto-9	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GHNXV03.5VA3	small SUV	5	20	27	23	5	No	390
ACURA MDX	3.5	6	SemiAuto-9	2WD	Gasoline	CA	U2	California LEV-II ULEV	GHNXV03.5VA3	small SUV	6	19	27	22	5	No	403
ACURA MDX	3.5	6	SemiAuto-9	2WD	Gasoline	CA	U2	California LEV-II ULEV	GHNXV03.5VA3	small SUV	6	20	27	23	5	No	390
ACURA MDX	3.5	6	SemiAuto-9	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GHNXV03.5VA3	small SUV	5	18	26	21	5	No	412
ACURA MDX	3.5	6	SemiAuto-9	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GHNXV03.5VA3	small SUV	5	19	26	22	5	No	409
ACURA MDX	3.5	6	SemiAuto-9	4WD	Gasoline	CA	U2	California LEV-II ULEV	GHNXV03.5VA3	small SUV	6	18	26	21	5	No	412
ACURA MDX	3.5	6	SemiAuto-9	4WD	Gasoline	CA	U2	California LEV-II ULEV	GHNXV03.5VA3	small SUV	6	19	26	22	5	No	409
ACURA RDX	3.5	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GHNXT03.5GV3	small SUV	5	20	29	23	5	No	384
ACURA RDX	3.5	6	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	GHNXT03.5GV3	small SUV	6	20	29	23	5	No	384
ACURA RDX	3.5	6	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GHNXT03.5GV3	small SUV	5	19	28	22	5	No	400
ACURA RDX	3.5	6	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	GHNXT03.5GV3	small SUV	6	19	28	22	5	No	400
ACURA RLX	3.5	6	AutoMan-7	4WD	Gasoline	FA	B3	Federal Tier 2 Bin 3	GHNXV03.5PK3	midsize car	7	28	32	30	7	Yes	297
ACURA RLX	3.5	6	AutoMan-7	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	GHNXV03.5PK3	midsize car	8	28	32	30	7	Yes	297
ACURA RLX	3.5	6	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GHNXV03.5SA4	midsize car	5	20	31	24	5	No	378
ACURA RLX	3.5	6	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	GHNXV03.5SA4	midsize car	6	20	31	24	5	No	378
ACURA TLX	2.4	4	AMS-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GHNXJ02.41A3	small car	5	24	35	28	7	No	316
ACURA TLX	2.4	4	AMS-8	2WD	Gasoline	CA	U2	California LEV-II ULEV	GHNXJ02.41A3	small car	6	24	35	28	7	Yes	316
ACURA TLX	3.5	6	SemiAuto-9	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GHNXV03.5RA3	small car	5	21	34	25	6	No	358
ACURA TLX	3.5	6	SemiAuto-9	2WD	Gasoline	CA	U2	California LEV-II ULEV	GHNXV03.5RA3	small car	6	21	34	25	6	No	358
ACURA TLX	3.5	6	SemiAuto-9	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GHNXV03.5RA3	small car	5	21	31	25	6	No	357
ACURA TLX	3.5	6	SemiAuto-9	4WD	Gasoline	CA	U2	California LEV-II ULEV	GHNXV03.5RA3	small car	6	21	31	25	6	No	357
ALFA ROMEO 4C	1.8	4	AutoMan-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GCRXV01.85P0	small car	5	24	34	28	7	No	317
ALFA ROMEO 4C	1.8	4	AutoMan-6	2WD	Gasoline	CA	L2	California LEV-II LEV	GCRXV01.85P0	small car	5	24	34	28	7	No	317
ASTON MARTIN DB9	5.9	12	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GASXV05.9VH1	small car	5	13	19	15	2	No	587
ASTON MARTIN DB9	5.9	12	SemiAuto-6	2WD	Gasoline	CA	L2	California LEV-II LEV	GASXV05.9VH1	small car	5	13	19	15	2	No	587
ASTON MARTIN Rapide S	6	12	SemiAuto-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GASXV06.0VHB	small car	5	14	22	17	3	No	534
ASTON MARTIN Rapide S	6	12	SemiAuto-8	2WD	Gasoline	CA	L2	California LEV-II LEV	GASXV06.0VHB	small car	5	14	22	17	3	No	534
ASTON MARTIN V12 Vantage S	6	12	AutoMan-7	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GASXV06.0VHB	small car	5	12	18	14	2	No	628
ASTON MARTIN V12 Vantage S	6	12	AutoMan-7	2WD	Gasoline	CA	L2	California LEV-II LEV	GASXV06.0VHB	small car	5	12	18	14	2	No	628
ASTON MARTIN V8 Vantage	4.7	8	AutoMan-7	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GASXV04.7VH2	small car	5	14	21	16	3	No	552
ASTON MARTIN V8 Vantage	4.7	8	AutoMan-7	2WD	Gasoline	CA	L2	California LEV-II LEV	GASXV04.7VH2	small car	5	14	21	16	3	No	552
ASTON MARTIN V8 Vantage	4.7	8	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GASXV04.7VH2	small car	5	13	19	15	2	No	582
ASTON MARTIN V8 Vantage	4.7	8	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	GASXV04.7VH2	small car	5	13	19	15	2	No	582
ASTON MARTIN V8 Vantage S	4.7	8	AutoMan-7	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GASXV04.7VH2	small car	5	14	21	16	3	No	552
ASTON MARTIN V8 Vantage S	4.7	8	AutoMan-7	2WD	Gasoline	CA	L2	California LEV-II LEV	GASXV04.7VH2	small car	5	14	21	16	3	No	552
ASTON MARTIN V8 Vantage S	4.7	8	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GASXV04.7VH2	small car	5	13	19	15	2	No	582
ASTON MARTIN V8 Vantage S	4.7	8	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	GASXV04.7VH2	small car	5	13	19	15	2	No	582
ASTON MARTIN Vanquish	6	12	SemiAuto-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GASXV06.0VHB	small car	5	13	21	16	3	No	557
ASTON MARTIN Vanquish	6	12	SemiAuto-8	2WD	Gasoline	CA	L2	California LEV-II LEV	GASXV06.0VHB	small car	5	13	21	16	3	No	557
ASTON MARTIN Vantage GT	4.7	8	AutoMan-7	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GASXV04.7VH2	small car	5	14	21	16	3	No	552
ASTON MARTIN Vantage GT	4.7	8	AutoMan-7	2WD	Gasoline	CA	L2	California LEV-II LEV	GASXV04.7VH2	small car	5	14	21	16	3	No	552
ASTON MARTIN Vantage GT	4.7	8	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GASXV04.7VH2	small car	5	13	19	15	2	No	582
ASTON MARTIN Vantage GT	4.7	8	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	GASXV04.7VH2	small car	5	13	19	15	2	No	582
AUDI A3	1.8	4	AMS-6	2WD	Gasoline	FA	B2	Federal Tier 2 Bin 2	GVGAV02.0APA	small car	9	23	33	27	6	No	328
AUDI A3	1.8	4	AMS-6	2WD	Gasoline	CA	PZEV	California PZEV	GVGAV02.0APA	small car	9	23	33	27	6	No	328
AUDI A3	2	4	AMS-6	4WD	Gasoline	FA	B2	Federal Tier 2 Bin 2	GVGAV02.0APA	small car	9	24	33	27	6	No	323
AUDI A3	2	4	AMS-6	4WD	Gasoline	CA	PZEV	California PZEV	GVGAV02.0APA	small car	9	24	33	27	6	No	323
AUDI A3 Cabriolet	1.8	4	AMS-6	2WD	Gasoline	FA	B2	Federal Tier 2 Bin 2	GVGAV02.0APA	small car	9	24	35	28	7	Yes	314
AUDI A3 Cabriolet	1.8	4	AMS-6	2WD	Gasoline	CA	PZEV	California PZEV	GVGAV02.0APA	small car	9	24	35	28	7	Yes	314
AUDI A3 Cabriolet	2	4	AMS-6	4WD	Gasoline	FA	B2	Federal Tier 2 Bin 2	GVGAV02.0APA	small car	9	23	32	26	6	No	334
AUDI A3 Cabriolet	2	4	AMS-6	4WD	Gasoline	CA	PZEV	California PZEV	GVGAV02.0APA	small car	9	23	32	26	6	No	334
AUDI A3 e-tron	1.4	4	AMS-6	2WD	Gasoline/Electricity	CA	L3SULEV30/PZEV	California LEV-III SULEV30/PZEV	GVGAV01.4V3B	small car	9	33/81	37/86	35/83	10	Elite	158
AUDI A3 e-tron	1.4	4	AMS-6	2WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	GVGAV01.4V3B	small car	8	33/81	37/86	35/83	10	Yes	158
AUDI A3 e-tron ultra	1.4	4	AMS-6	2WD	Gasoline/Electricity	CA	L3SULEV30/PZEV	California LEV-III SULEV30/PZEV	GVGAV01.4V3B	small car	9	37/86	41/87	39/86	10	Elite	138
AUDI A3 e-tron ultra	1.4	4	AMS-6	2WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	GVGAV01.4V3B	small car	8	37/86	41/87	39/86	10	Yes	138
AUDI A4	2	4	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV02.0AUB	small car	5	22	32	26	6	No	343
AUDI A4	2	4	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAV02.0AUB	small car	6	22	32	26	6	No	343
AUDI A4	2	4	SCV-8	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV02.0AUB	small car	5	24	31	27	6	No	341
AUDI A4	2	4	SCV-8	2WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAV02.0AUB	small car	6	24	31	27	6	No	341
AUDI A4	2	4	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	GVGAJ02.0AUF	small car	5	15/21	22/30	18/25	6	No	347/361
AUDI A4	2	4	SemiAuto-8	4WD	Ethanol/Gas	CA	U2	California LEV-II ULEV	GVGAJ02.0AUF	small car	6	15/21	22/30	18/25	6	No	347/361
AUDI A5	2	4	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV02.0AUB	small car	5	22	32	26	6	No	343
AUDI A5	2	4	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAV02.0AUB	small car	6	22	32	26	6	No	343
AUDI A5	2	4	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	GVGAJ02.0AUF	small car	5	15/21	22/30	18/25	6	No	347/361
AUDI A5	2	4	SemiAuto-8	4WD	Ethanol/Gas	CA	U2	California LEV-II ULEV	GVGAJ02.0AUF	small car	6	15/21	22/30	18/25	6	No	347/361
AUDI A5 Cabriolet	2	4	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	GVGAJ02.0AUF	small car	5	15/21	21/29	17/24	5	No	355/370
AUDI A5 Cabriolet	2	4	SemiAuto-8	4WD	Ethanol/Gas	CA	U2	California LEV-II ULEV	GVGAJ02.0AUF	small car	6	15/21	21/29	17/24	5	No	355/370
AUDI A6	2	4	AMS-7	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	GVGAV02.0AAC	midsize car	6	24	35	28	7	Yes	310
AUDI A6	2	4	AMS-7	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	GVGAV02.0AAC	midsize car	6	24	35	28	7	Yes	310
AUDI A6	2	4	SemiAuto-8	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	GVGAV02.0AAC	midsize car	6	22	32	26	6	No	340
AUDI A6	2	4	SemiAuto-8	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	GVGAV02.0AAC	midsize car	6	22	32	26	6	No	340
AUDI A6	3	6	SemiAuto-8	4WD	Diesel	FA	B5	Federal Tier 2 Bin 5	GVGAJ03.0NU4	midsize car	5	25	38	30	6	No	343
AUDI A6	3	6	SemiAuto-8	4WD	Diesel	CA	U2	California LEV-II ULEV	GVGAJ03.0NU4	midsize car	6	25	38	30	6	No	343
AUDI A6	3	6	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV03.0AUE	midsize car	5	20	30	24	5	No	373
AUDI A6	3	6	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAV03.0AUE	midsize car	6	20	30	24	5	No	373
AUDI A7	3	6	SemiAuto-8	4WD	Diesel	FA	B5	Federal Tier 2 Bin 5	GVGAJ03.0NU4	midsize car	5	25	38	30	6	No	343
AUDI A7	3	6	SemiAuto-8	4WD	Diesel	CA	U2	California LEV-II ULEV	GVGAJ03.0NU4	midsize car	6	25	38	30	6	No	343
AUDI A7	3	6	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV03.0AUE	midsize car	5	20	30	24	5	No	373
AUDI A7	3	6	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAV03.0AUE	midsize car	6	20	30	24	5	No	373
AUDI A8 L	3	6	SemiAuto-8	4WD	Diesel	FA	B5	Federal Tier 2 Bin 5	GVGAJ03.0NU4	large car	5	24	36	28	6	No	360
AUDI A8 L	3	6	SemiAuto-8	4WD	Diesel	CA	U2	California LEV-II ULEV	GVGAJ03.0NU4	large car	6	24	36	28	6	No	360
AUDI A8 L	3	6	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV03.0AUE	large car	5	19	29	22	5	No	397
AUDI A8 L	3	6	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAV03.0AUE	large car	6	19	29	22	5	No	397
AUDI A8 L	4	8	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV04.0NUA	large car	5	18	29	22	5	No	410
AUDI A8 L	4	8	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAV04.0NUA	large car	6	18	29	22	5	No	410
AUDI A8 L	6.3	12	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV06.3VUM	large car	5	14	22	17	3	No	534
AUDI A8 L	6.3	12	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAV06.3VUM	large car	6	14	22	17	3	No	534
AUDI Q3	2	4	SemiAuto-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV02.0AUA	small car	5	20	29	23	5	No	389
AUDI Q3	2	4	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAV02.0AUA	small car	6	20	29	23	5	No	389
AUDI Q3	2	4	SemiAuto-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV02.0AUA	small car	5	20	28	23	5	No	387
AUDI Q3	2	4	SemiAuto-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAV02.0AUA	small car	6	20	28	23	5	No	387
AUDI Q5	2	4	SemiAuto-8	4WD	Ethanol/Gas	FA	B5	Federal Tier 2 Bin 5	GVGAJ02.0AUF	small SUV	5	14/20	19/28	16/23	5	No	392/393
AUDI Q5	2	4	SemiAuto-8	4WD	Ethanol/Gas	CA	U2	California LEV-II ULEV	GVGAJ02.0AUF	small SUV	6	14/20	19/28	16/23	5	No	392/393
AUDI Q5	3	6	SemiAuto-8	4WD	Diesel	FA	B5	Federal Tier 2 Bin 5	GVGAJ03.0NU4	small SUV	5	24	31	27	5	No	385
AUDI Q5	3	6	SemiAuto-8	4WD	Diesel	CA	U2	California LEV-II ULEV	GVGAJ03.0NU4	small SUV	6	24	31	27	5	No	385
AUDI Q5	3	6	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAJ03.0AUD	small SUV	5	18	26	21	5	No	429
AUDI Q5	3	6	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAJ03.0AUD	small SUV	6	18	26	21	5	No	429
AUDI Q5 Hybrid	2	4	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAT02.0AUH	small SUV	5	24	30	26	6	No	337
AUDI Q5 Hybrid	2	4	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAT02.0AUH	small SUV	6	24	30	26	6	No	337
AUDI RS7	4	8	SemiAuto-8	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV04.0NUA	midsize car	5	15	25	18	4	No	497
AUDI RS7	4	8	SemiAuto-8	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAV04.0NUA	midsize car	6	15	25	18	4	No	497
AUDI S3	2	4	AMS-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAV02.0AUA	small car	5	23	31	26	6	No	340
AUDI S3	2	4	AMS-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAV02.0AUA	small car	6	23	31	26	6	No	340
AUDI S4	3	6	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAJ03.0AUD	small car	5	18	28	21	5	No	413
AUDI S4	3	6	AMS-7	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAJ03.0AUD	small car	6	18	28	21	5	No	413
AUDI S4	3	6	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAJ03.0AUD	small car	5	17	26	20	4	No	439
AUDI S4	3	6	Man-6	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAJ03.0AUD	small car	6	17	26	20	4	No	439
AUDI S5	3	6	AMS-7	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAJ03.0AUD	small car	5	18	28	21	5	No	413
AUDI S5	3	6	AMS-7	4WD	Gasoline	CA	U2	California LEV-II ULEV	GVGAJ03.0AUD	small car	6	18	28	21	5	No	413
AUDI S5	3	6	Man-6	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	GVGAJ03.0AUD	small car	5	17	26	20	4	No	439
