"Model"	"Displ"	"Cyl"	"Trans"	"Drive"	"Fuel"	"Veh.Class"	"Air.Pollution.Score"	"City.MPG"	"Hwy.MPG"	"Cmb.MPG"	"Greenhouse.Gas.Score"	"dataYear"
"ACURA MDX"	3.7	6	"Auto-S5"	"4WD"	"Gasoline"	"SUV"	7	15	20	17	3	"09"
"ACURA MDX"	3.7	6	"Auto-S5"	"4WD"	"Gasoline"	"SUV"	6	15	20	17	3	"09"
"ACURA RDX"	2.3	4	"Auto-S5"	"4WD"	"Gasoline"	"SUV"	7	17	22	19	4	"09"
"ACURA RDX"	2.3	4	"Auto-S5"	"4WD"	"Gasoline"	"SUV"	6	17	22	19	4	"09"
"ACURA RL"	3.7	6	"Auto-S5"	"4WD"	"Gasoline"	"midsize car"	7	16	22	18	4	"09"
"ACURA RL"	3.7	6	"Auto-S5"	"4WD"	"Gasoline"	"midsize car"	6	16	22	18	4	"09"
"ACURA TL"	3.5	6	"Auto-S5"	"2WD"	"Gasoline"	"midsize car"	7	18	26	21	5	"09"
"ACURA TL"	3.7	6	"Auto-S5"	"4WD"	"Gasoline"	"midsize car"	7	17	25	20	5	"09"
"ACURA TL"	3.5	6	"Auto-S5"	"2WD"	"Gasoline"	"midsize car"	6	18	26	21	5	"09"
"ACURA TL"	3.7	6	"Auto-S5"	"4WD"	"Gasoline"	"midsize car"	6	17	25	20	5	"09"
"ACURA TSX"	2.4	4	"Man-6"	"2WD"	"Gasoline"	"small car"	7	20	28	23	6	"09"
"ACURA TSX"	2.4	4	"Auto-S5"	"2WD"	"Gasoline"	"small car"	7	21	30	25	7	"09"
"ACURA TSX"	2.4	4	"Man-6"	"2WD"	"Gasoline"	"small car"	6	20	28	23	6	"09"
"ACURA TSX"	2.4	4	"Auto-S5"	"2WD"	"Gasoline"	"small car"	6	21	30	25	7	"09"
"ALFA ROMEO 8C Spider"	4.7	8	"Auto-6"	"2WD"	"Gasoline"	"small car"	6	11	16	13	0	"09"
"ALFA ROMEO 8C Spider"	4.7	8	"Auto-6"	"2WD"	"Gasoline"	"small car"	6	11	16	13	0	"09"
"ASTON MARTIN DB9"	5.9	12	"Man-6"	"2WD"	"Gasoline"	"small car"	6	11	17	13	0	"09"
"ASTON MARTIN DB9"	5.9	12	"Auto-S6"	"2WD"	"Gasoline"	"small car"	6	12	19	14	1	"09"
"ASTON MARTIN DB9"	5.9	12	"Man-6"	"2WD"	"Gasoline"	"small car"	6	11	17	13	0	"09"
"ASTON MARTIN DB9"	5.9	12	"Auto-S6"	"2WD"	"Gasoline"	"small car"	6	12	19	14	1	"09"
"ASTON MARTIN DBS Coupe"	5.9	12	"Man-6"	"2WD"	"Gasoline"	"small car"	6	11	17	13	0	"09"
"ASTON MARTIN DBS Coupe"	5.9	12	"Auto-S6"	"2WD"	"Gasoline"	"small car"	6	12	18	14	1	"09"
"ASTON MARTIN DBS Coupe"	5.9	12	"Man-6"	"2WD"	"Gasoline"	"small car"	6	11	17	13	0	"09"
"ASTON MARTIN DBS Coupe"	5.9	12	"Auto-S6"	"2WD"	"Gasoline"	"small car"	6	12	18	14	1	"09"
"ASTON MARTIN V8 Vantage"	4.7	8	"Man-6"	"2WD"	"Gasoline"	"small car"	6	12	19	14	1	"09"
"ASTON MARTIN V8 Vantage"	4.7	8	"Auto-S6"	"2WD"	"Gasoline"	"small car"	6	13	19	15	2	"09"
"ASTON MARTIN V8 Vantage"	4.7	8	"Man-6"	"2WD"	"Gasoline"	"small car"	6	12	19	14	1	"09"
"ASTON MARTIN V8 Vantage"	4.7	8	"Auto-S6"	"2WD"	"Gasoline"	"small car"	6	13	19	15	2	"09"
"AUDI A3"	2	4	"Man-6"	"2WD"	"Gasoline"	"station wagon"	9.5	21	30	24	7	"09"
"AUDI A3"	2	4	"Auto-S6"	"2WD"	"Gasoline"	"station wagon"	9.5	22	28	24	7	"09"
"AUDI A3"	2	4	"Man-6"	"2WD"	"Gasoline"	"station wagon"	9	21	30	24	7	"09"
